country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,payment_mode,first_trip_tz,most_impressing,total_cost,total_people,total_nights
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,674602.5,2,13
1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,14,7,0,1,1,3214906.5,1,21
1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,31,0,0,2,3315000.0,1,32
1,1,2,1,1,0,0,2,1,0,1,1,1,1,1,0,11,0,0,1,0,7790250.0,2,11
2,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,7,4,0,1,3,1657500.0,1,11
1,1,1,0,1,0,0,2,1,0,0,0,0,1,1,0,9,3,0,1,4,120950.0,1,12
3,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,9,0,0,1,0,466140.0,1,9
4,0,0,1,1,0,0,2,1,1,1,1,1,1,1,1,10,3,0,1,0,3480750.0,2,13
5,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,4,0,0,1,0,994500.0,1,4
6,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,5,0,1,1,0,2486250.0,1,5
7,1,2,1,1,0,0,3,0,0,0,0,0,0,0,0,17,3,0,1,1,1117155.0,2,20
8,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,30,0,0,0,2,8121750.0,2,30
8,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,11,3,0,1,3,331500.0,2,14
9,1,0,2,0,0,0,0,1,1,1,1,1,0,0,0,10,0,0,1,3,11346650.0,2,10
10,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,1,4,497250.0,1,2
11,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,1,331500.0,1,2
12,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0,24,0,0,0,0,2000000.0,5,24
13,1,1,1,0,3,0,3,0,0,0,0,0,0,0,0,5,0,0,1,0,331500.0,1,5
14,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2269330.0,2,3
15,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,377520.0,1,4
1,2,1,1,0,4,1,4,0,0,0,0,0,0,0,0,70,0,0,1,1,711262.5,1,70
15,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,497250.0,1,4
0,0,3,1,1,0,0,0,1,1,1,0,0,0,0,0,10,0,1,0,0,7458750.0,2,10
16,1,2,1,1,0,3,3,0,0,0,0,0,0,0,0,0,11,0,1,4,3734347.5,2,11
17,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,20,6,0,1,0,5673325.0,2,26
18,2,0,2,2,5,3,0,0,0,0,0,0,0,0,0,15,7,0,1,3,400000.0,4,22
1,1,1,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,1,1,3,663000.0,1,1
14,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,1,5,453866.0,1,28
19,0,4,3,1,0,0,2,1,1,1,1,1,1,1,1,4,4,0,1,4,25442625.0,4,8
20,2,1,0,1,0,4,1,1,0,1,1,1,1,1,1,11,3,0,1,1,6961500.0,1,14
1,2,1,0,1,4,5,0,0,0,0,0,0,0,0,0,56,0,1,0,0,1707030.0,1,56
1,0,1,1,0,1,5,0,0,0,0,0,0,0,0,0,12,0,0,0,0,5690100.0,1,12
21,0,0,2,0,0,0,3,1,1,1,1,0,1,0,0,6,5,0,1,2,2652000.0,2,11
22,2,1,0,1,1,6,2,1,1,1,0,0,0,0,0,2,0,0,1,3,2320500.0,1,2
1,0,1,1,0,1,5,0,0,0,0,0,0,0,0,0,11,0,0,0,3,4267575.0,1,11
23,1,0,2,2,0,0,0,1,1,1,1,1,1,1,0,13,10,0,0,4,17316000.0,4,23
10,2,1,1,0,1,5,0,0,0,0,0,0,0,0,0,3,0,0,1,2,663000.0,1,3
15,0,1,1,0,5,2,5,1,1,1,0,0,0,0,0,5,0,1,0,4,3812250.0,1,5
2,1,1,1,0,0,3,6,0,0,0,0,0,0,0,0,2,0,2,0,0,828750.0,1,2
24,1,1,0,1,3,3,0,0,0,0,0,0,0,0,0,21,0,1,0,0,3000000.0,1,21
1,0,2,1,1,1,3,0,0,0,0,0,0,0,0,0,10,0,0,0,2,828750.0,2,10
1,1,3,0,3,1,3,0,0,0,0,0,0,0,0,0,29,0,0,0,3,28450500.0,3,29
25,1,1,1,0,4,1,2,0,0,0,0,0,0,0,0,27,2,0,1,3,745875.0,1,29
2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,34,4,0,1,0,3273562.5,1,38
4,0,2,1,1,0,3,1,0,0,0,0,0,0,0,0,0,5,0,1,3,3397875.0,2,5
1,0,1,0,1,2,7,1,0,0,0,0,0,0,0,0,20,0,0,1,0,6132750.0,1,20
26,0,1,0,1,1,3,0,1,1,1,1,1,0,0,0,10,7,1,0,0,4992526.0,1,17
27,1,2,1,1,0,0,2,0,0,0,0,0,0,0,0,10,4,0,1,3,1588531.0,2,14
20,1,4,1,2,0,0,2,1,1,1,1,1,1,1,1,4,3,0,1,3,34039950.0,3,7
28,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1657500.0,1,8
1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,30,0,0,0,2845050.0,1,31
29,1,4,2,1,3,3,0,0,0,0,0,0,0,0,0,12,5,0,0,0,1000000.0,3,17
17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,60,7,0,1,1,712725.0,1,67
0,2,1,1,0,4,5,0,0,0,0,0,0,0,0,0,30,2,0,1,0,900000.0,1,32
19,1,0,1,1,0,3,0,1,0,1,1,1,0,0,0,1,6,0,0,3,13615980.0,2,7
4,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,5,0,1,1,2,1491750.0,1,5
